split,file_name,width,height,aspect_ratio,format,laplacian_variance,is_blurry,mean_brightness,exposure_status
train,GrayLeafSpot003.jpg,768,1024,0.750,JPEG,167.5,False,90.8,Normal
train,GrayLeafSpot004.jpg,768,1024,0.750,JPEG,204.1,False,91.1,Normal
train,GrayLeafSpot005.jpg,768,1024,0.750,JPEG,59.8,False,97.4,Normal
train,GrayLeafSpot006.jpg,768,1024,0.750,JPEG,43.1,True,94.2,Normal
train,GrayLeafSpot007.jpg,768,1024,0.750,JPEG,33.9,True,94.8,Normal
train,GrayLeafSpot008.jpg,768,1024,0.750,JPEG,27.7,True,98.8,Normal
train,GrayLeafSpot009.jpg,768,1024,0.750,JPEG,38.6,True,105.9,Normal
train,GrayLeafSpot010.jpg,768,1024,0.750,JPEG,35.4,True,110.8,Normal
train,GrayLeafSpot011.jpg,768,1024,0.750,JPEG,65.0,False,109.2,Normal
train,GrayLeafSpot012.jpg,768,1024,0.750,JPEG,33.0,True,105.1,Normal
train,GrayLeafSpot013.jpg,768,1024,0.750,JPEG,13.6,True,102.0,Normal
train,GrayLeafSpot014.jpg,768,1024,0.750,JPEG,10.2,True,106.5,Normal
train,LeafRot001.jpg,768,1024,0.750,JPEG,653.7,False,90.2,Normal
train,LeafRot002.jpg,768,1024,0.750,JPEG,577.2,False,91.7,Normal
train,LeafRot003.jpg,768,1024,0.750,JPEG,756.9,False,88.1,Normal
train,LeafRot004.jpg,768,1024,0.750,JPEG,511.3,False,89.1,Normal
train,LeafRot005.jpg,768,1024,0.750,JPEG,661.4,False,83.1,Normal
train,LeafRot006.jpg,768,1024,0.750,JPEG,483.0,False,80.0,Normal
train,LeafRot007.jpg,768,1024,0.750,JPEG,356.9,False,83.8,Normal
train,LeafRot008.jpg,768,1024,0.750,JPEG,874.9,False,72.3,Normal
train,LeafRot009.jpg,768,1024,0.750,JPEG,597.5,False,70.9,Normal
train,LeafRot010.jpg,768,1024,0.750,JPEG,315.8,False,73.8,Normal
train,LeafRot011.jpg,768,1024,0.750,JPEG,380.5,False,79.7,Normal
train,LeafRot012.jpg,768,1024,0.750,JPEG,326.7,False,95.6,Normal
train,LeafRot013.jpg,768,1024,0.750,JPEG,278.5,False,109.3,Normal
train,LeafRot014.jpg,768,1024,0.750,JPEG,445.8,False,111.0,Normal
train,StemBleeding001.jpg,768,1024,0.750,JPEG,3241.9,False,141.1,Normal
train,StemBleeding002.jpg,768,1024,0.750,JPEG,2343.1,False,140.4,Normal
train,StemBleeding003.jpg,768,1024,0.750,JPEG,2471.2,False,140.8,Normal
train,StemBleeding004.jpg,768,1024,0.750,JPEG,2941.0,False,141.0,Normal
train,StemBleeding005.jpg,768,1024,0.750,JPEG,3136.9,False,140.9,Normal
train,StemBleeding006.jpg,768,1024,0.750,JPEG,2738.8,False,141.6,Normal
train,StemBleeding007.jpg,768,1024,0.750,JPEG,3079.7,False,141.8,Normal
train,StemBleeding008.jpg,768,1024,0.750,JPEG,3338.4,False,141.4,Normal
train,StemBleeding009.jpg,768,1024,0.750,JPEG,3298.6,False,140.3,Normal
train,StemBleeding010.jpg,768,1024,0.750,JPEG,3252.5,False,139.7,Normal
train,StemBleeding011.jpg,768,1024,0.750,JPEG,3136.9,False,139.7,Normal
train,StemBleeding012.jpg,768,1024,0.750,JPEG,2207.2,False,143.9,Normal
train,StemBleeding013.jpg,768,1024,0.750,JPEG,2854.1,False,144.6,Normal
train,StemBleeding014.jpg,768,1024,0.750,JPEG,2349.9,False,144.6,Normal
valid,BudRootDropping015.jpg,768,1024,0.750,JPEG,1142.0,False,137.4,Normal
valid,BudRootDropping016.jpg,768,1024,0.750,JPEG,481.8,False,133.8,Normal
valid,BudRootDropping017.jpg,768,1024,0.750,JPEG,4751.0,False,125.6,Normal
valid,BudRootDropping018.jpg,768,1024,0.750,JPEG,4737.4,False,125.9,Normal
valid,BudRot015.jpg,768,1024,0.750,JPEG,386.4,False,122.0,Normal
valid,BudRot016.jpg,768,1024,0.750,JPEG,615.1,False,119.5,Normal
valid,BudRot017.jpg,768,1024,0.750,JPEG,791.6,False,119.0,Normal
valid,BudRot018.jpg,768,1024,0.750,JPEG,680.3,False,120.7,Normal
valid,GrayLeafSpot015.jpg,768,1024,0.750,JPEG,12.6,True,113.7,Normal
valid,GrayLeafSpot016.jpg,768,1024,0.750,JPEG,22.1,True,111.6,Normal
valid,GrayLeafSpot017.jpg,768,1024,0.750,JPEG,12.2,True,106.1,Normal
valid,GrayLeafSpot018.jpg,768,1024,0.750,JPEG,29.4,True,95.6,Normal
valid,LeafRot015.jpg,768,1024,0.750,JPEG,303.8,False,97.3,Normal
valid,LeafRot016.jpg,768,1024,0.750,JPEG,225.9,False,94.3,Normal
valid,LeafRot017.jpg,768,1024,0.750,JPEG,181.8,False,95.4,Normal
valid,LeafRot018.jpg,768,1024,0.750,JPEG,303.4,False,85.3,Normal
valid,StemBleeding015.jpg,768,1024,0.750,JPEG,2136.4,False,147.4,Normal
valid,StemBleeding016.jpg,768,1024,0.750,JPEG,2404.0,False,147.1,Normal
valid,StemBleeding017.jpg,768,1024,0.750,JPEG,2215.3,False,147.3,Normal
valid,StemBleeding018.jpg,768,1024,0.750,JPEG,2235.3,False,147.9,Normal
test,BudRootDropping019.jpg,768,1024,0.750,JPEG,4714.7,False,125.1,Normal
test,BudRootDropping020.jpg,768,1024,0.750,JPEG,4480.2,False,122.9,Normal
test,BudRot019.jpg,768,1024,0.750,JPEG,434.9,False,119.9,Normal
test,BudRot020.jpg,768,1024,0.750,JPEG,429.9,False,117.5,Normal
test,GrayLeafSpot019.jpg,768,1024,0.750,JPEG,51.3,False,92.0,Normal
test,GrayLeafSpot020.jpg,768,1024,0.750,JPEG,133.1,False,94.5,Normal
test,LeafRot019.jpg,768,1024,0.750,JPEG,217.7,False,78.5,Normal
test,LeafRot020.jpg,768,1024,0.750,JPEG,261.1,False,73.9,Normal
test,StemBleeding019.jpg,768,1024,0.750,JPEG,1923.8,False,149.0,Normal
test,StemBleeding020.jpg,768,1024,0.750,JPEG,2945.8,False,145.4,Normal
