dataset_name,source_url,license,download_date,file_name,file_size,sha256,version,notes
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Root%20Dropping/BudRootDropping011.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Root Dropping/BudRootDropping011.jpg,177370,6ff5ca2fc9ebf188942dba68983701a30e2fb025d77c88018371ca9af423d539,1.0,Authentic raw sample: Bud Root Dropping
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Root%20Dropping/BudRootDropping012.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Root Dropping/BudRootDropping012.jpg,143727,7b7ad59df312d30d2deca48f696f629ec1a4056cf1e771e0f9eb96a78b336d4f,1.0,Authentic raw sample: Bud Root Dropping
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Root%20Dropping/BudRootDropping013.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Root Dropping/BudRootDropping013.jpg,143724,50b683d90ba9186cd066fbcba536ab4e9acd79c89a8bff4805f033398b48c727,1.0,Authentic raw sample: Bud Root Dropping
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Root%20Dropping/BudRootDropping014.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Root Dropping/BudRootDropping014.jpg,158527,6daa58201a4d112a2797f0f5294886c8a6efaee98dd003103ee1e594901b007c,1.0,Authentic raw sample: Bud Root Dropping
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Root%20Dropping/BudRootDropping015.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Root Dropping/BudRootDropping015.jpg,189356,3eaeaff7135494b872b0e25a109ba9d3404029540720761972ace6514132b6ea,1.0,Authentic raw sample: Bud Root Dropping
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Root%20Dropping/BudRootDropping016.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Root Dropping/BudRootDropping016.jpg,143988,330fa0b9d236e1f8d03e508aa37f92641a0eb6eb4a207ad582d028315615af1b,1.0,Authentic raw sample: Bud Root Dropping
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Root%20Dropping/BudRootDropping017.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Root Dropping/BudRootDropping017.jpg,183843,006f13f9802091a6cb2b365f4a2a3af9cad5f0eed6db4445e0c220377b9389aa,1.0,Authentic raw sample: Bud Root Dropping
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Root%20Dropping/BudRootDropping018.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Root Dropping/BudRootDropping018.jpg,183961,ff8ca6ec017c238ae288178f2ca341909086f0a9d68a3d48c4ba5a47ecd8b69e,1.0,Authentic raw sample: Bud Root Dropping
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Root%20Dropping/BudRootDropping019.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Root Dropping/BudRootDropping019.jpg,184260,abf204707a218d36e7d85e0f21c27bc6daafca63504295e84ed2ec4d1dc8e56a,1.0,Authentic raw sample: Bud Root Dropping
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Root%20Dropping/BudRootDropping020.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Root Dropping/BudRootDropping020.jpg,183422,a0c0babd1840fe0b1b538388b97c96641b78e26d1920ebaf816b9bf807d7b1c8,1.0,Authentic raw sample: Bud Root Dropping
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Rot/BudRot001.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Rot/BudRot001.jpg,207887,19b9f4f8b0deeec175c0e52de262624bd1c1abf1a114afa07d0c17edaf92bd67,1.0,Authentic raw sample: Bud Rot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Rot/BudRot002.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Rot/BudRot002.jpg,210090,9acce3430148ffffa65edcdbf5edca0ad741d367bc57bd399526b89ede1bfb1a,1.0,Authentic raw sample: Bud Rot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Rot/BudRot003.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Rot/BudRot003.jpg,200524,b3cbbab013b6d880ab6b30291c9d3fe23fb4776eec2462e0bc9562cd4d3cff20,1.0,Authentic raw sample: Bud Rot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Rot/BudRot004.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Rot/BudRot004.jpg,199873,7c7e423115d61c5954162f3febc1fd618838288bcfd7cc248f8893fc402ff2b2,1.0,Authentic raw sample: Bud Rot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Rot/BudRot005.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Rot/BudRot005.jpg,198639,f3bd385dd4192aa4fca46cf5cb50979aa1ed5b73edac4a4eff73a5b2f3557ba0,1.0,Authentic raw sample: Bud Rot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Rot/BudRot006.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Rot/BudRot006.jpg,203678,5c4e130d6ebe84bfd5402a1f1f121de1741af680724c1c6e884f34f06c45e9c7,1.0,Authentic raw sample: Bud Rot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Rot/BudRot007.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Rot/BudRot007.jpg,203762,abcfe113b69c08776e322bf9020d7ab4c81cb891bbb68cb215e69f3ddb4053ee,1.0,Authentic raw sample: Bud Rot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Rot/BudRot008.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Rot/BudRot008.jpg,208807,28e9c9cfae5097f87bc24b9e76515bab30661b715c7b840e73cf2b3c4570e75f,1.0,Authentic raw sample: Bud Rot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Rot/BudRot009.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Rot/BudRot009.jpg,202972,9664db2c4a38a9e3e6efd0fde2bad37f430064887474efd89416fc3720d27257,1.0,Authentic raw sample: Bud Rot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Rot/BudRot010.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Rot/BudRot010.jpg,196916,c972953ead74a42e5c7f59bc6f3e10e6aa358cb0ee5475c054673f495226457f,1.0,Authentic raw sample: Bud Rot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Rot/BudRot011.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Rot/BudRot011.jpg,208117,9de01b84fbc5c1e57dc717857cfe657abc58ea4eadd8f8ff81144f524208627e,1.0,Authentic raw sample: Bud Rot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Rot/BudRot012.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Rot/BudRot012.jpg,201393,abf7c660509045d34f21cb8c4b5bfd4012cbb98b3d90828e6a5628c878a257aa,1.0,Authentic raw sample: Bud Rot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Rot/BudRot013.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Rot/BudRot013.jpg,201671,6dc8736d700dfb52c51ea3c6e8910eec4b221f2d4d1839fd0dce026a7d45aafe,1.0,Authentic raw sample: Bud Rot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Rot/BudRot014.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Rot/BudRot014.jpg,204292,351c4d2988e7c14f97a505fd23f75c3b9281bf172998415d68bf5208b0794cbf,1.0,Authentic raw sample: Bud Rot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Rot/BudRot015.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Rot/BudRot015.jpg,187070,077f4e49f96587fde92ea72e33f7791da70f8d433d5fa6be62a7d60fae2d65ed,1.0,Authentic raw sample: Bud Rot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Rot/BudRot016.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Rot/BudRot016.jpg,198805,6716eec0b3588445d9147b2b362f04b739958816cdd1b09a2f4af60d9ac523f8,1.0,Authentic raw sample: Bud Rot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Rot/BudRot017.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Rot/BudRot017.jpg,204720,ee8c92bcf47651fd5810dc7f3dd6e5b23e2b50e24925c4c8aeeed7075ec0f3ce,1.0,Authentic raw sample: Bud Rot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Rot/BudRot018.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Rot/BudRot018.jpg,198940,f9b356554a4aea648077f05731d09c72190c897e1bbb1cbb7435b98a2c1454fb,1.0,Authentic raw sample: Bud Rot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Rot/BudRot019.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Rot/BudRot019.jpg,180843,14bc13e12991fa06420e4bc1d3d9a36d6e697fd020c454832eb07e88be71ee44,1.0,Authentic raw sample: Bud Rot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Rot/BudRot020.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Rot/BudRot020.jpg,180514,d3c617b8a2da2744e6329bc8a8dc8bff768af5b5e5f77a325992ccbde24869be,1.0,Authentic raw sample: Bud Rot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Gray%20Leaf%20Spot/GrayLeafSpot001.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Gray Leaf Spot/GrayLeafSpot001.jpg,129266,0f573d5259a3b6282b8d442dd8d71cc94e0d3bbff4fe110f304c90c619f21b36,1.0,Authentic raw sample: Gray Leaf Spot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Gray%20Leaf%20Spot/GrayLeafSpot002.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Gray Leaf Spot/GrayLeafSpot002.jpg,135802,0ab9d13376b8a895701fdb27394af785eae36399f67daf1d05c7dc83d161ba5e,1.0,Authentic raw sample: Gray Leaf Spot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Gray%20Leaf%20Spot/GrayLeafSpot003.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Gray Leaf Spot/GrayLeafSpot003.jpg,140965,a06768bb890af0e5050bf18239eb63072738b57f23f088bc07c8685abdfabf00,1.0,Authentic raw sample: Gray Leaf Spot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Gray%20Leaf%20Spot/GrayLeafSpot004.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Gray Leaf Spot/GrayLeafSpot004.jpg,150742,53119836621b64310c222e29dc47c3c0c5516662ddb0ceda72bef1d9fca196df,1.0,Authentic raw sample: Gray Leaf Spot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Gray%20Leaf%20Spot/GrayLeafSpot005.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Gray Leaf Spot/GrayLeafSpot005.jpg,124614,7df1115ac9e44401a32017826bfa652ac243abe859d608632cd3cccd841950ef,1.0,Authentic raw sample: Gray Leaf Spot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Gray%20Leaf%20Spot/GrayLeafSpot006.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Gray Leaf Spot/GrayLeafSpot006.jpg,121109,c4ac844b8ad29dffc0048f292c51ca94e4827530252403751903ff5272cabd54,1.0,Authentic raw sample: Gray Leaf Spot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Gray%20Leaf%20Spot/GrayLeafSpot007.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Gray Leaf Spot/GrayLeafSpot007.jpg,114590,94dd1f6f889b8a40d322e3f98de7a5a7e4b54016043bb860f2ff16c59a33d59e,1.0,Authentic raw sample: Gray Leaf Spot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Gray%20Leaf%20Spot/GrayLeafSpot008.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Gray Leaf Spot/GrayLeafSpot008.jpg,104345,eb0d6e99a0885249a5749a72ce43000cca03d6d63803e0b95263222b097369de,1.0,Authentic raw sample: Gray Leaf Spot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Gray%20Leaf%20Spot/GrayLeafSpot009.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Gray Leaf Spot/GrayLeafSpot009.jpg,104341,7f4c9ae7d1b80a7067f64ae62010094dcda42b42bded2757a6703f498f6efee1,1.0,Authentic raw sample: Gray Leaf Spot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Gray%20Leaf%20Spot/GrayLeafSpot010.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Gray Leaf Spot/GrayLeafSpot010.jpg,100001,259b71c7778309ce4156b8c96ca2479fc8e637b4fbc440e594c29543e7a51bb0,1.0,Authentic raw sample: Gray Leaf Spot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Gray%20Leaf%20Spot/GrayLeafSpot011.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Gray Leaf Spot/GrayLeafSpot011.jpg,106103,efd7619f9f324c1db286928469699a6bd7390cc9822daf9b2eeffc293dcfe27e,1.0,Authentic raw sample: Gray Leaf Spot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Gray%20Leaf%20Spot/GrayLeafSpot012.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Gray Leaf Spot/GrayLeafSpot012.jpg,97492,7cf8627a7997b4d49e0b775f212a82e042fd9a6d94643362a89a7fa588c20ff3,1.0,Authentic raw sample: Gray Leaf Spot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Gray%20Leaf%20Spot/GrayLeafSpot013.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Gray Leaf Spot/GrayLeafSpot013.jpg,87431,f6b205d747aee7c633039890f30f1573f082843f05c538c1fef0939651c3f49e,1.0,Authentic raw sample: Gray Leaf Spot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Gray%20Leaf%20Spot/GrayLeafSpot014.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Gray Leaf Spot/GrayLeafSpot014.jpg,80257,f3dc9e97a0ab4cfae892806126d8a4803f53f44ef8d8337ab2b4f29115ddfc19,1.0,Authentic raw sample: Gray Leaf Spot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Gray%20Leaf%20Spot/GrayLeafSpot015.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Gray Leaf Spot/GrayLeafSpot015.jpg,79035,0a70ffee8874ec58bab838d0802a9997c33bdbb73e5d086009ff7a96c620b0cd,1.0,Authentic raw sample: Gray Leaf Spot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Gray%20Leaf%20Spot/GrayLeafSpot016.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Gray Leaf Spot/GrayLeafSpot016.jpg,81830,210d329e0ef64caa73b1840df6c5ecd3d27cf3a8e440dfa8603d700d3e1535cd,1.0,Authentic raw sample: Gray Leaf Spot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Gray%20Leaf%20Spot/GrayLeafSpot017.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Gray Leaf Spot/GrayLeafSpot017.jpg,83172,9e33bc42ef2ee1c59737e3f3960f2b100806153bcbf8bbfcc9ad003556d3fe7b,1.0,Authentic raw sample: Gray Leaf Spot
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Gray%20Leaf%20Spot/GrayLeafSpot018.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Gray Leaf Spot/GrayLeafSpot018.jpg,99649,c624bd77e3d4dbafe803d3bee5a0e0f6b67ed2064fb049deb724eaee5ae4e490,1.0,Authentic raw sample: Gray Leaf Spot
